species;habitat;venom_stat(threat_to_humans);threat_to_humans;model_predictions
Merluccius-polli;"Marine;  bathydemersal; non-migratory; depth range 50 - 1248 m (Ref. 112558), usually 50 - 550 m (Ref. 58452). Deep-water; 29°N -   19°S, 19°W -   15°E (Ref. 58452)";nonvenomous;Harmless;"Preferred temperature (Ref. 123201): 7.3 - 19.8, mean 14.2 °C (based on 93 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00447 (0.00242 - 0.00825), b=3.09 (2.93 - 3.25), in cm total length, based on LWR estimates for this Genus-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.5   ±0.63 se; based on food items.					

				
					
					
						 Generation time: 2.8 ( na - na) years. Estimated as median ln(3)/K based on 1 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (K=0.39(?); assuming tm>=2).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low to moderate vulnerability (35 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  High vulnerability (58 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						High."
Alosa-alosa;"Marine; freshwater; brackish;  pelagic-neritic; anadromous (Ref. 89642); depth range 10 - 300 m (Ref. 10536). Temperate; 61°N -   20°N, 17°W -   22°E";nonvenomous;Harmless;"Preferred temperature (Ref. 123201): 7 - 15.6, mean 10.1 °C (based on 480 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00646 (0.00525 - 0.00794), b=3.08 (3.04 - 3.12), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.0   ±0.2 se; based on diet studies.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (K=0.19-0.29; tm=3.5; tmax=10).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate vulnerability (36 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  Moderate to high vulnerability (47 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Low."
Megalobrama-amblycephala;"Freshwater;  benthopelagic; depth range 5 - 20 m (Ref. 6898). Temperate; 10°C - 20°C (Ref. 13614); 32°N -   23°N";nonvenomous;Harmless;"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5312   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00912 (0.00760 - 0.01094), b=3.10 (3.05 - 3.15), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.3   ±0.4 se; based on size and trophs of closest relatives					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Very Low, minimum population doubling time more than 14 years (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Very high vulnerability (90 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown."
Girardinichthys-multiradiatus;"Freshwater;  demersal; pH range: 6.0 - 7.5; dH range: ? - 15. Temperate; 12°C - 20°C (Ref. 2060); 21°N -   19°N";nonvenomous;Harmless;"Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016"
Micropterus-dolomieu;"Freshwater;  benthopelagic; depth range 1 - 7 m (Ref. 120820). Subtropical; 9°C - 30°C (Ref. 1998); 50°N -   33°N, 95°W -   63°W (Ref. 86798)";nonvenomous;Potential pest;"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5001   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01096 (0.00898 - 0.01339), b=3.05 (2.99 - 3.11), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.6   ±0.2 se; based on diet studies.					

				
					
					
						 Generation time: 6.8 (5.2 - 7.3) years. Estimated as median ln(3)/K based on 26 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (K=0.10-0.28; tm=3-6; tmax=14; Fec=5,000).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate to high vulnerability (49 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown."
Daphnia-pulex;NA;nonvenomous;NA;NA
Scatophagus-argus;"Marine; freshwater; brackish;  demersal; amphidromous (Ref. 51243); depth range 0 - 5 m (Ref. 90102). Tropical; 20°C - 28°C (Ref. 13371); 35°N -   33°S, 48°E -   171°W";venomous;Venomous (Ref. 6565);"Preferred temperature (Ref. 123201): 25.4 - 29.3, mean 28.6 °C (based on 2701 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.8125   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.03236 (0.02371 - 0.04416), b=2.92 (2.83 - 3.01), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.0   ±0.35 se; based on food items.					

				
					
					
						 Generation time: 0.9 ( na - na) years. Estimated as median ln(3)/K based on 1 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (tm=1; Fec=337,309; K=1.2).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (20 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Low."
Salmo-salar;NA;nonvenomous;NA;NA
Coregonus-clupeaformis;"Freshwater; brackish;  benthopelagic; anadromous (Ref. 120291); depth range 8 - 128 m (Ref. 3849). Temperate; 8°C - 14°C (Ref. 1998); 72°N -   41°N, 149°W -   61°W (Ref. 86798)";nonvenomous;Harmless;"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00550 (0.00475 - 0.00635), b=3.23 (3.19 - 3.27), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.2   ±0.2 se; based on diet studies.					

				
					
					
						 Generation time: 5.0 (4.2 - 6.4) years. Estimated as median ln(3)/K based on 34 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (K=0.06-0.19; tmax=50).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate to high vulnerability (51 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Very high."
Mauremys-mutica;NA;nonvenomous;NA;NA
Pelomyxa-schiedti;NA;nonvenomous;NA;NA
Gracilinanus-agilis;NA;nonvenomous;NA;NA
Gambusia-affinis;"Freshwater; brackish;  benthopelagic; pH range: 6.0 - 8.0; dH range: 5 - 19; potamodromous. Subtropical; 12°C - 29°C (Ref. 52055); 42°N -   26°N";nonvenomous;Potential pest;"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00832 (0.00673 - 0.01028), b=3.13 (3.07 - 3.19), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.1   ±0.2 se; based on diet studies.					

				
					
					
						 Generation time: 1.4 ( na - na) years. Estimated as median ln(3)/K based on 2 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (K=1.20; tmax=3; Fec=10-60).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate vulnerability (38 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown."
Dromiciops-gliroides;NA;nonvenomous;NA;NA
Naja-naja;NA;nonvenomous;NA;NA
Oncorhynchus-tshawytscha;"Marine; freshwater; brackish;  benthopelagic; anadromous (Ref. 51243); depth range 0 - 375 m (Ref. 58426). Temperate; 0°C - 25°C (Ref. 35682); 71°N -   27°N, 136°E -   112°W (Ref. 54251)";nonvenomous;Potential pest (Ref. 12257);"Preferred temperature (Ref. 123201): 0.7 - 8, mean 3.5 °C (based on 561 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01047 (0.00482 - 0.02276), b=3.04 (2.87 - 3.21), in cm total length, based on LWR estimates for this Genus-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.4   ±0.7 se; based on diet studies.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (tm=4; tmax=9; Fec=4,000).					
								
					
						 Prior r = 0.38, 95% CL = 0.25 - 0.57, Based on 4 stock assessments.					
				
									
					Fishing Vulnerability  (Ref. 59153):  Very high vulnerability (90 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  Moderate to high vulnerability (52 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Very high."
Melanotaenia-boesemani;"Freshwater;  benthopelagic; pH range: 7.0 - 8.0; dH range: 9 - 19. Tropical; 27°C - 30°C (Ref. 2060); 1°S -   2°S";nonvenomous;Harmless;"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01122 (0.00514 - 0.02450), b=3.04 (2.87 - 3.21), in cm total length, based on all LWR estimates for this BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  2.9   ±0.4 se; based on size and trophs of closest relatives					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100)."
Cheilinus-undulatus;"Marine;  reef-associated; depth range 0 - 100 m (Ref. 58652). Tropical; 30°N -   23°S";nonvenomous;Reports of ciguatera poisoning (Ref. 5374);"Preferred temperature (Ref. 123201): 24.9 - 28.8, mean 27.5 °C (based on 580 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5078   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01479 (0.01141 - 0.01917), b=2.97 (2.89 - 3.05), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.0   ±0.61 se; based on food items.					

				
					
					
						 Generation time: 27.5 ( na - na) years. Estimated as median ln(3)/K based on 2 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (tm = 5-7; tmax = 32).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  High to very high vulnerability (74 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Very high."
Oryzias-melastigma;"Freshwater; brackish;  benthopelagic. Tropical";nonvenomous;Harmless;"Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016"
Amblyraja-radiata;"Marine; brackish;  demersal; oceanodromous (Ref. 51243); depth range 5 - 1540 m (Ref. 117245), usually 25 - 440 m (Ref. 114953). Boreal; -1°C - 14°C (Ref. 49751); 79°N -   38°N, 95°W -   54°E (Ref. 55275)";nonvenomous;Harmless;"Preferred temperature (Ref. 123201): -0.8 - 5, mean 1 °C (based on 340 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5010   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00331 (0.00284 - 0.00386), b=3.23 (3.19 - 3.27), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.2   ±0.3 se; based on diet studies.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (K=0.17; tm=4; Fec=13-20).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate to high vulnerability (51 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Medium."
