species,venom_stat(threat_to_humans),habitat,model_predictions,temp_min,temp_max
Bagarius-yarrelli,nonvenomous,Freshwater; brackish;  benthopelagic; pH range: 6.5 - 7.8; dH range: 12 - 30; potamodromous (Ref. 51243). Tropical; 18°C - 25°C (Ref. 2060),"Nutrients  (Ref. 124155):  Calcium = 40 [15, 84] mg/100g ; Iron = 0.536 [0.254, 1.225] mg/100g ; Protein = 16 [14, 18] % ; Omega3 = 0.0789 [, ] g/100g ; Selenium = 47.7 [14.7, 154.7] μg/100g ; VitaminA = 22 [4, 108] μg/100g ; Zinc = 1.42 [0.83, 2.42] mg/100g (wet weight);",18,25
Danionella-translucida,nonvenomous,Freshwater;  benthopelagic. Tropical,"Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016",,
Takifugu-rubripes,nonvenomous,"Marine; freshwater; brackish;  demersal; non-migratory. Temperate; 46°N -   21°N, 119°E -   142°E","Preferred temperature (Ref. 123201): 13.5 - 23, mean 19 °C (based on 96 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01622 (0.00717 - 0.03671), b=2.92 (2.74 - 3.10), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.6   ±0.57 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (K=0.15-0.17; assuming tm<5).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low to moderate vulnerability (30 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Very high.",13.5,23
Salmo-trutta,nonvenomous,"Marine; freshwater; brackish;  pelagic-neritic; anadromous (Ref. 51243); depth range 0 - 28 m (Ref. 101587), usually 1 - 2 m (Ref. 101587). Subtropical; 18°C - 24°C (Ref. 12741); 71°N -   34°N, 25°W -   57°E","Preferred temperature (Ref. 123201): 6.5 - 15.8, mean 10.1 °C (based on 918 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00851 (0.00757 - 0.00957), b=3.03 (3.00 - 3.06), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.4   ±0.1 se; based on diet studies.					

				
					
					
						 Generation time: 4.2 (3.2 - 7.6) years. Estimated as median ln(3)/K based on 15 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (rm=0.9; K=0.09-0.8; tmax=8; Fec=1,000).					
								
					
						 Prior r = 0.46, 95% CL = 0.30 - 0.68, Based on 1 stock assessment.					
				
									
					Fishing Vulnerability  (Ref. 59153):  High vulnerability (56 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  Very high vulnerability (85 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Very high.",6.5,15.8
Echeneis-naucrates,nonvenomous,"Marine; brackish;  reef-associated; depth range 1 - 85 m (Ref. 86942). Subtropical; 45°N -   45°S, 180°W -   180°E","Preferred temperature (Ref. 123201): 18.3 - 28.6, mean 27.2 °C (based on 566 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.7539   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00263 (0.00111 - 0.00626), b=3.17 (2.96 - 3.38), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.7   ±0.3 se; based on diet studies.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (Assuming Fec < 10,000).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  High to very high vulnerability (66 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						High.",18.3,28.6
Takifugu-bimaculatus,nonvenomous,Marine;  demersal. Subtropical,"Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016",,
Cottoperca-gobio,nonvenomous,"Marine;  demersal. Subtropical; 34°S -   57°S, 76°W -   53°W","Preferred temperature (Ref. 123201): 6.8 - 13.7, mean 9 °C (based on 281 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.7505   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01122 (0.00514 - 0.02450), b=3.04 (2.87 - 3.21), in cm total length, based on all LWR estimates for this BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.3   ±0.73 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate to high vulnerability (52 of 100).					
								
				
								
				
									
				
					
						Nutrients  (Ref. 124155):  Calcium = 71.9 [40.2, 145.7] mg/100g ; Iron = 1.23 [0.75, 2.11] mg/100g ; Protein = 17.9 [15.5, 21.1] % ; Omega3 = 0.282 [0.173, 0.476] g/100g ; Selenium = 23.7 [11.3, 52.3] μg/100g ; VitaminA = 11.2 [3.6, 34.7] μg/100g ; Zinc = 0.603 [0.419, 0.897] mg/100g (wet weight); based on nutrient studies.",6.8,13.7
Labrus-bergylta,nonvenomous,"Marine;  reef-associated; depth range 1 - 50 m (Ref. 5292), usually 2 - 30 m (Ref. 35388). Temperate; 64°N -   27°N, 32°W -   22°E","Preferred temperature (Ref. 123201): 8.7 - 13.3, mean 10.5 °C (based on 376 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5625   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00955 (0.00543 - 0.01679), b=3.07 (2.92 - 3.22), in cm total length, based on LWR estimates for species & Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.2   ±0.0 se; based on diet studies.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (K=0.1; tmax=29; tm=2-9).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  High to very high vulnerability (67 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  High to very high vulnerability (75 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						High.",8.7,13.3
Denticeps-clupeoides,nonvenomous,"Freshwater;  pelagic. Tropical; 20°C - 25°C (Ref. 13614); 7°N -   4°N, 2°E -   9°E","Phylogenetic diversity index  (Ref. 82804):  PD50 = 1.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01122 (0.00514 - 0.02450), b=3.04 (2.87 - 3.21), in cm total length, based on all LWR estimates for this BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.3   ±0.4 se; based on size and trophs of closest relatives					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (Fec < 1,000).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						High.",20,25
Gouania-willdenowi,nonvenomous,"Marine;  demersal; depth range 0 - 2 m (Ref. 123696). Subtropical; 45°N -   30°N, 1°W -   36°E","Preferred temperature (Ref. 123201): 17.7 - 21.8, mean 19.3 °C (based on 464 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 1.0000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00513 (0.00201 - 0.01311), b=3.11 (2.89 - 3.33), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.1   ±0.5 se; based on size and trophs of closest relatives					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100).					
								
				
								
				
									
				
					
						Nutrients  (Ref. 124155):  Calcium = 229 [39, 929] mg/100g ; Iron = 1.53 [0.53, 5.20] mg/100g ; Protein = 3.01 [0.00, 6.87] % ; Omega3 = 0.246 [0.093, 0.680] g/100g ; Selenium = 5.31 [1.05, 20.19] μg/100g ; VitaminA = 58.3 [13.0, 249.9] μg/100g ; Zinc = 1.68 [0.78, 3.62] mg/100g (wet weight);",17.7,21.8
Parambassis-ranga,nonvenomous,Freshwater; brackish;  demersal; pH range: 7.0 - 8.0; dH range: 9 - 19; potamodromous (Ref. 51243). Tropical; 20°C - 30°C (Ref. 1672); 38°N -   1°N,"Nutrients  (Ref. 124155):  Calcium = 678 [434, 1,182] mg/100g ; Iron = 1.63 [1.04, 2.50] mg/100g ; Protein = 16.8 [15.2, 18.6] % ; Omega3 = 0.172 [0.079, 0.380] g/100g ; Selenium = 26.3 [10.5, 59.5] μg/100g ; VitaminA = 72.5 [35.1, 147.7] μg/100g ; Zinc = 2.32 [1.66, 3.18] mg/100g (wet weight); based on nutrient studies.",20,30
Siganus-virgatus,venomous,"Marine; brackish;  reef-associated; depth range 1 - ? m (Ref. 48637), usually 1 - 20 m (Ref. 27115). Tropical; 23°C - 28°C (Ref. 27115); 35°N -   25°S, 77°E -   154°E","Preferred temperature (Ref. 123201): 25.4 - 29.1, mean 28.3 °C (based on 1192 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01905 (0.01036 - 0.03504), b=3.13 (2.97 - 3.29), in cm total length, based on LWR estimates for species & Genus-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  2.7   ±0.31 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (20 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						High.",23,28
Scophthalmus-maximus,nonvenomous,"Marine; brackish;  demersal; oceanodromous (Ref. 51243); depth range 20 - 70 m (Ref. 6302). Temperate; 70°N -   30°N, 25°W -   42°E","Preferred temperature (Ref. 123201): 5.9 - 11.9, mean 9.4 °C (based on 239 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5645   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01122 (0.00922 - 0.01366), b=3.06 (3.00 - 3.12), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.4   ±0.0 se; based on diet studies.					

				
					
					
						 Generation time: 4.8 (3.8 - 5.8) years. Estimated as median ln(3)/K based on 24 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (K=0.15-0.28; tm=3-5; tmax=26; Fec=5 million).					
								
					
						 Prior r = 0.50, 95% CL = 0.33 - 0.74, Based on 9 stock assessments.					
				
									
					Fishing Vulnerability  (Ref. 59153):  High vulnerability (60 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  High vulnerability (65 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Very high.",5.9,11.9
Cynoglossus-semilaevis,nonvenomous,Marine; freshwater; brackish;  demersal. Subtropical,"Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016",,
Salvelinus-alpinus,nonvenomous,"Marine; freshwater; brackish;  benthopelagic; anadromous (Ref. 51243); depth range 0 - 70 m (Ref. 30578), usually 0 - 1 m (Ref. 101587). Temperate; 4°C - 16°C (Ref. 2059); 82°N -   41°N, 180°W -   180°E (Ref. 117475)","Preferred temperature (Ref. 123201): 0.1 - 9.7, mean 1.9 °C (based on 316 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00724 (0.00451 - 0.01164), b=3.03 (2.89 - 3.17), in cm total length, based on LWR estimates for species & Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.4   ±0.5 se; based on diet studies.					

				
					
					
						 Generation time: 11.7 ( na - na) years. Estimated as median ln(3)/K based on 1 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (tm=7-10; tmax=24; Fec=400).					
								
					
						 Prior r = 0.20, 95% CL = 0.13 - 0.31, Based on 3 stock assessments.					
				
									
					Fishing Vulnerability  (Ref. 59153):  High to very high vulnerability (70 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  High to very high vulnerability (71 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Very high.",4,16
Oryzias-latipes,nonvenomous,"Freshwater; brackish;  benthopelagic; pH range: 7.0 - 8.0; dH range: 9 - 19; amphidromous (Ref. 51243). Subtropical; 18°C - 24°C (Ref. 2060); 55°N -   10°N, 85°E -   105°E","Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00479 (0.00190 - 0.01207), b=3.13 (2.91 - 3.35), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.4   ±0.45 se; based on food items.					

				
					
					
						 Generation time: 0.3 ( na - na) years. Estimated as median ln(3)/K based on 1 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (tm<1; Fec=40).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100).",18,24
Monopterus-albus,nonvenomous,Freshwater; brackish;  demersal; potamodromous (Ref. 51243); depth range 3 - ? m (Ref. 2686). Tropical; 25°C - 28°C (Ref. 2060); 34°N -   6°S,"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00059 (0.00036 - 0.00095), b=3.06 (2.92 - 3.20), in cm total length, based on LWR estimates for species & Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  2.9   ±0.28 se; based on food items.					

				
					
					
						 Generation time: 10.2 ( na - na) years. Estimated as median ln(3)/K based on 2 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (Fec = 1,000).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  High vulnerability (65 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown.",25,28
Paralichthys-olivaceus,nonvenomous,"Marine;  demersal; oceanodromous (Ref. 51243); depth range 10 - 200 m (Ref. 11230). Subtropical; 62°N -   1°N, 99°E -   163°E (Ref. 54698)","Preferred temperature (Ref. 123201): 8.6 - 25, mean 18.8 °C (based on 241 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00794 (0.00436 - 0.01448), b=3.07 (2.90 - 3.24), in cm total length, based on LWR estimates for species & Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.5   ±0.8 se; based on diet studies.					

				
					
					
						 Generation time: 7.3 ( na - na) years. Estimated as median ln(3)/K based on 1 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (tm=3; Fec= 3 million).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  High vulnerability (60 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  Moderate vulnerability (43 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Very high.",8.6,25
Lepisosteus-oculatus,nonvenomous,"Freshwater; brackish;  demersal. Subtropical; 12°C - 20°C (Ref. 2060); 52°N -   24°N, 99°W -   74°W","Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5781   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00355 (0.00151 - 0.00836), b=3.23 (3.02 - 3.44), in cm total length, based on LWR estimates for species & Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.0   ±0.66 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (tm=4; Fec=1,772).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Very high vulnerability (90 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown.",12,20
Austrofundulus-limnaeus,nonvenomous,Freshwater;  benthopelagic; non-migratory. Tropical; 22°C - 26°C (Ref. 2060),"Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016",22,26
Sebastiscus-marmoratus,venomous,Marine;  demersal; oceanodromous (Ref. 51243). Tropical,"Nutrients  (Ref. 124155):  Calcium = 147 [48, 378] mg/100g ; Iron = 1.3 [0.6, 2.8] mg/100g ; Protein = 17.5 [15.7, 19.3] % ; Omega3 = 0.406 [0.173, 1.105] g/100g ; Selenium = 69.5 [32.9, 184.0] μg/100g ; VitaminA = 34.3 [12.9, 94.7] μg/100g ; Zinc = 1.04 [0.59, 1.59] mg/100g (wet weight);",,
Scorpaenopsis-oxycephala,venomous,"Marine;  reef-associated; depth range ? - 400 m (Ref. 100719). Tropical; 30°N -   36°S, 24°E -   171°E","Preferred temperature (Ref. 123201): 20.3 - 28.3, mean 26.5 °C (based on 973 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01514 (0.00885 - 0.02590), b=3.11 (2.96 - 3.26), in cm total length, based on LWR estimates for species & Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.9   ±0.63 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low to moderate vulnerability (26 of 100).					
								
				
								
				
									
				
					
						Nutrients  (Ref. 124155):  Calcium = 40.3 [19.1, 89.5] mg/100g ; Iron = 0.523 [0.282, 1.489] mg/100g ; Protein = 18.2 [16.3, 20.2] % ; Omega3 = 0.247 [0.109, 0.685] g/100g ; Selenium = 48.3 [25.0, 121.0] μg/100g ; VitaminA = 110 [38, 316] μg/100g ; Zinc = 1.12 [0.77, 1.62] mg/100g (wet weight);",20.3,28.3
Hypodytes-rubripinnis,venomous,Marine;  reef-associated. Tropical,"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5625   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00479 (0.00183 - 0.01252), b=3.13 (2.90 - 3.36), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.2   ±0.3 se; based on size and trophs of closest relatives					

				
					
					
						 Generation time: 2.0 ( na - na) years. Estimated as median ln(3)/K based on 1 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (K=0.55).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (24 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown.",,
Synanceia-verrucosa,venomous,"Marine;  reef-associated; non-migratory; depth range 0 - 30 m (Ref. 37816). Tropical; 30°N -   30°S, 30°E -   139°W","Preferred temperature (Ref. 123201): 24.9 - 29.3, mean 28.3 °C (based on 3300 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5312   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01622 (0.00606 - 0.04338), b=3.06 (2.84 - 3.28), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.4   ±0.77 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate vulnerability (39 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown.",24.9,29.3
Tetraodon-nigroviridis,nonvenomous,Freshwater; brackish;  demersal; pH range: 8.0 - 8.0; dH range: 9 - 19. Tropical; 24°C - 28°C (Ref. 30491),"Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016",24,28
